Disease,Medical Specialist
Fungal infection,Dermatology/ Infectious Disease
Allergy,Allergy and Immunology
GERD,Gastroenterology
Chronic cholestasis,Hepatology / Gastroenterology
Drug Reaction,Allergy and Immunology / Dermatology
Peptic ulcer disease,Gastroenterology
AIDS,Infectious Disease / Immunology
Diabetes,Endocrinology
Gastroenteritis,Gastroenterology / Infectious Disease
Bronchial Asthma,Pulmonology / Allergy and Immunology
Hypertension,Cardiology
Migraine,Neurology
Cervical spondylosis,Orthopedics / Neurology
Paralysis (brain hemorrhage),Neurology / Neurosurgery
Jaundice,Hepatology / Gastroenterology
Malaria,Infectious Disease / Tropical Medicine
Chicken pox,Infectious Disease / Dermatology
Dengue,Infectious Disease / Tropical Medicine
Typhoid,Infectious Disease / Tropical Medicine
hepatitis A,Hepatology / Gastroenterology
Hepatitis B,Hepatology / Gastroenterology
Hepatitis C,Hepatology / Gastroenterology
Hepatitis D,Hepatology / Gastroenterology
Hepatitis E,Hepatology / Gastroenterology
Alcoholic hepatitis,Hepatology / Gastroenterology
Tuberculosis,Infectious Disease / Pulmonology
Common Cold,Primary Care / Infectious Disease
Pneumonia,Pulmonology / Infectious Disease
Dimorphic hemmorhoids(piles),General Surgery / Proctology
Heart attack,Cardiology
Varicose veins,Vascular Surgery / Phlebology
Hypothyroidism,Endocrinology
Hyperthyroidism,Endocrinology
Hypoglycemia,Endocrinology
Osteoarthristis,Rheumatology / Orthopedics
Arthritis,Rheumatology
(vertigo) Paroymsal Positional Vertigo,Otolaryngology (ENT) / Neurology
Acne,Dermatology
Urinary tract infection,Urology / Infectious Disease
Psoriasis,Dermatology
Impetigo,Dermatology / Infectious Disease
